"filename", "language", "Dotenv", "Python", "CSV", "Properties", "YAML", "PowerShell", "C++", "Batch", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-47-40.csv", "CSV", 0, 0, 355, 0, 0, 0, 0, 0, 0, 1, 356
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-53-00.csv", "CSV", 0, 0, 396, 0, 0, 0, 0, 0, 0, 1, 397
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-54-44.csv", "CSV", 0, 0, 460, 0, 0, 0, 0, 0, 0, 1, 461
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-55-39.csv", "CSV", 0, 0, 72, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-57-15.csv", "CSV", 0, 0, 282, 0, 0, 0, 0, 0, 0, 1, 283
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-59-36.csv", "CSV", 0, 0, 531, 0, 0, 0, 0, 0, 0, 1, 532
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_16-01-31.csv", "CSV", 0, 0, 110, 0, 0, 0, 0, 0, 0, 1, 111
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_16-04-12.csv", "CSV", 0, 0, 779, 0, 0, 0, 0, 0, 0, 1, 780
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-25-05.csv", "CSV", 0, 0, 802, 0, 0, 0, 0, 0, 0, 1, 803
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-31-34.csv", "CSV", 0, 0, 957, 0, 0, 0, 0, 0, 0, 1, 958
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-34-35.csv", "CSV", 0, 0, 920, 0, 0, 0, 0, 0, 0, 1, 921
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-37-49.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 0, 1, 843
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-45-31.csv", "CSV", 0, 0, 1501, 0, 0, 0, 0, 0, 0, 1, 1502
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_1D_2x_from_csv.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 1, 23, 56
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_1D_from_csv.py", "Python", 0, 45, 0, 0, 0, 0, 0, 0, 12, 24, 81
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_2D_from_csv.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 12, 34
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_all.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 4, 14, 38
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_control_forces.py", "Python", 0, 33, 0, 0, 0, 0, 0, 0, 1, 26, 60
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_distance_to_target.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 1, 25, 56
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_ship_target_path.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 15, 38
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_surge_velocity.py", "Python", 0, 96, 0, 0, 0, 0, 0, 0, 17, 33, 146
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_thruster_speed.py", "Python", 0, 33, 0, 0, 0, 0, 0, 0, 1, 26, 60
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_yaw_velocity.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 1, 27, 58
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\animate.py", "Python", 0, 45, 0, 0, 0, 0, 0, 0, 0, 28, 73
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\log.csv", "CSV", 0, 0, 776, 0, 0, 0, 0, 0, 0, 1, 777
